user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
33,-0.9970259,-0.9970259,-0.9970259,-0.9970259,-0.9970259,-0.9970259,-0.99719304,-0.99719304,-0.99719304,-0.99719304,-0.98664665,-0.9889205,-0.9889205,-0.9835687
34,-0.6323619,-0.6323619,-0.6323619,-0.6323619,-0.6323619,-0.6323619,-0.6323619,-0.6323619,-0.9989048,-0.9989048,-0.9989048,-0.9989048,-0.9989048,-0.991848
35,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.99878734,-0.9988494
36,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9942737,-0.9992507,-0.9992507,-0.9973212,-0.9973212
37,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173,-0.9701173
38,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279,-0.99279
39,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641,-0.9932641
40,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9392399,-0.9988446
41,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.99979275,-0.9960567
42,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123,-0.9988123
43,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535,-0.98546535
44,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9847965,-0.9925417,-0.9925417,-0.9925417,-0.9925417
45,0.8832463,0.8832463,0.8832463,0.8832463,0.8832463,0.8832463,-0.99545765,-0.99545765,-0.99545765,-0.99545765,-0.99545765,-0.99545765,-0.99545765,-0.9876797
46,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,0.99768233,-0.99904436
47,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075,0.99941075
48,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,-0.9891923,0.9995222
49,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.967766,-0.9966419
