user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
28,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,0.99226767,-0.997203,-0.997203,-0.66628957
29,-0.9989844,-0.9989844,-0.9989844,-0.9989844,-0.9989844,-0.9989844,-0.9989844,-0.9989844,-0.9967457,-0.9995408,-0.99372685,-0.99372685,-0.99372685,-0.99372685
30,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9993932,-0.9974491,-0.9974491,-0.99838114,-0.99838114
31,-0.99967504,-0.99967504,-0.99967504,-0.99967504,-0.98738015,-0.99888307,-0.99888307,-0.99888307,-0.99888307,-0.99888307,-0.99888307,-0.99888307,-0.99888307,-0.99888307
32,0.9974782,0.9974782,0.64064735,0.64064735,-0.9923591,-0.9923591,-0.9923591,-0.9923591,-0.9923591,-0.9923591,-0.9992993,-0.9992993,-0.9992993,-0.9992993
33,-0.93159753,-0.93159753,-0.93159753,-0.93159753,-0.93159753,-0.93159753,-0.99864835,-0.99864835,-0.99864835,-0.99864835,-0.99864835,-0.99864835,-0.99864835,-0.99864835
34,-0.9996773,-0.9996773,-0.98678,-0.98678,-0.98678,-0.98678,0.9443913,0.9443913,0.9443913,0.9443913,0.9443913,0.9443913,0.9696097,0.9696097
35,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295,-0.995295
36,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163,-0.023075163
37,-0.99973553,-0.99973553,-0.99973553,-0.81838346,-0.81838346,-0.9970444,-0.9988174,-0.9991387,-0.9991387,-0.9976463,-0.9976463,-0.9976463,-0.9976463,-0.99842024
38,-0.9977875,-0.9977875,-0.9977875,-0.9977875,-0.9977875,-0.9977875,-0.98999155,-0.98999155,-0.9870788,-0.9870788,-0.9870788,-0.9870788,-0.9870788,-0.9995615
39,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999405,-0.999556,-0.999556,-0.9897545,-0.9897545
40,-0.9975769,-0.9975769,-0.9975769,-0.9973884,-0.9973884,-0.9973884,-0.9973884,-0.9573109,-0.9573109,0.99902546,0.99902546,0.99902546,0.99902546,0.99902546
41,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9987936,-0.9973213,-0.9993186,-0.9993186,-0.9993186,0.7684209
42,-0.9763055,-0.9763055,-0.9763055,-0.9763055,-0.9763055,-0.9956399,-0.9956399,-0.9956399,-0.9956399,-0.9956399,-0.9956399,-0.9956399,-0.9956399,-0.9947272
43,-0.9058527,-0.9058527,-0.9058527,-0.9993345,-0.9993345,-0.9993345,-0.999086,-0.999086,-0.9935783,-0.9935783,-0.9935783,-0.9935783,-0.71624017,-0.96876246
