user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
26,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.99921584,-0.9522106,-0.9522106,-0.9522106,-0.9522106,-0.9522106,-0.9522106
27,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166,-0.99521166
28,-0.9994555,-0.9994555,-0.9994555,-0.9994555,-0.9994555,-0.9994555,-0.9994555,-0.9994555,0.89086497,0.89086497,0.89086497,0.89086497,0.89086497,0.89086497,0.89086497
29,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9957878,-0.9633459,-0.9633459,-0.9633459
30,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174,-0.9949174
31,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,0.8124334,-0.95856583,-0.95856583,-0.95856583
32,-0.9512331,-0.9512331,-0.9512331,-0.9512331,-0.9512331,-0.9512331,-0.9512331,-0.9512331,0.9998646,0.9998646,0.9998646,0.9998646,0.9998646,0.9998646,0.9998646
33,-0.9859487,-0.9859487,-0.9859487,-0.9859487,-0.9859487,-0.99719405,-0.99719405,-0.99719405,-0.9932581,-0.9932581,-0.9932581,-0.9932581,-0.9932581,-0.9932581,-0.9932581
34,-0.99309444,-0.99309444,-0.99309444,-0.99309444,-0.9995695,-0.9976902,-0.9976902,-0.9976902,-0.9976902,-0.9976902,-0.9976902,-0.9958585,-0.9958585,-0.9958585,-0.9958585
35,0.99947697,0.99947697,0.99947697,0.99947697,0.99947697,0.9909819,0.9909819,0.9909819,-0.9541686,-0.9541686,-0.9541686,-0.99961483,-0.9988689,-0.9988689,-0.9988689
36,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9994974,-0.9981937,-0.9981937,-0.9981937,-0.9981937
37,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,0.74156773,-0.9992161,-0.99487275,-0.9962669,-0.9962669
38,0.9994019,0.9994019,0.9994019,0.9994019,0.9994019,0.9994019,0.99683785,0.99683785,0.9980362,0.9980362,0.9980362,-0.99334115,-0.99334115,-0.99334115,-0.99334115
39,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99474263,-0.99893993,-0.99893993,-0.99893993,-0.99893993
40,0.6268247,0.6268247,0.6268247,0.6268247,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754,0.9683754
41,0.9964412,0.9964412,0.9964412,0.9964412,0.9964412,0.9964412,0.9964412,0.9964412,-0.9970687,-0.9970687,-0.9970687,-0.99765235,0.89171743,0.89171743,0.89171743
42,-0.98884404,-0.98884404,-0.98884404,-0.98884404,-0.98905456,-0.9989796,-0.9989796,-0.9989796,-0.99874854,-0.99874854,-0.99874854,-0.9948125,-0.9948125,-0.9948125,-0.9948125
43,-0.9942363,-0.9942363,-0.9942363,-0.9942363,-0.9944265,-0.9938554,-0.9938554,-0.9938554,-0.99780935,-0.99780935,-0.99780935,-0.9887581,-0.9887581,-0.9887581,-0.9887581
44,-0.9906955,-0.9906955,-0.9906955,-0.9906955,-0.9906955,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025,-0.99018025
45,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284,0.983284
46,0.96682745,0.96682745,0.96682745,0.96682745,0.96682745,0.96682745,0.96682745,0.96682745,0.96682745,-0.9935968,-0.9935968,-0.9935968,-0.9935968,-0.9967127,-0.9967127
47,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.95002055,-0.998879,-0.998879,-0.99397075,-0.99397075,-0.99397075
48,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9993538,-0.9871185,-0.9871185,-0.99763966,-0.99763966,-0.99763966,-0.99763966
49,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557,0.9997557
