row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,-0.103665285,-0.029800167,-0.060396474,-0.053542558,-0.133766,-0.0009313589,0.019686867,0.032118198,-0.07527798,-0.06368394,-0.012987314,-0.13291883,-0.0011097265,0.10427102,0.005352507,-0.10403402
1,0.032568116,0.038859185,0.12947936,-0.017285675,-0.034929432,-0.017327325,0.004382823,0.016436314,-0.04243734,-0.028236803,0.05027013,0.033213835,0.037811454,0.076520324,-0.00058471295,0.030579211
2,-0.008438492,0.07771255,-0.106424555,0.035033356,0.013142389,0.027236305,-0.00088209036,-0.03363695,-0.0060763382,0.07778263,0.00280918,-0.08379063,-0.0052885897,-0.008099136,-0.0018373725,0.06599636
3,-0.03441598,0.023386503,-0.110993065,-0.025614103,-0.030603109,-0.009309916,-0.012121755,-0.15598921,-0.09909931,0.029605674,0.031962473,0.11529046,0.016113799,0.02988662,0.0047196005,-0.07763101
4,0.07440178,-0.12701847,0.1252951,0.0414926,0.022628002,0.0002699777,-0.039824408,0.20592807,0.13330935,0.14707074,0.02993103,0.15604621,0.055438012,0.0016772797,0.044225533,-0.03158859
5,0.078918405,0.033111617,0.11024025,0.0490273,0.008888164,0.004548359,-0.008338332,0.030109096,0.023908893,-0.034934092,0.036063906,0.08692392,-0.024996653,-0.013736957,-0.00013570457,-0.052221052
6,-0.015779871,-0.03639067,-0.14058319,-0.013071667,0.0349048,0.016195538,0.026428234,0.1400947,-0.012505119,0.008505727,0.048723586,0.003342436,-0.048167106,-0.010020908,-0.042104058,0.0067098015
7,0.02277607,0.041469872,0.07164713,-0.0019875704,-0.034840293,-0.012389927,-0.006391587,-0.072941385,0.03251372,0.040210728,0.034042887,-0.028147344,0.0007515676,-0.056381952,0.0025336905,-0.0011685003
8,0.00071728433,-0.018342707,0.032546777,0.049829744,-0.022996595,0.0072976793,0.003276244,-0.025976362,-0.07510649,0.11454654,0.0062637543,-0.036642563,-0.060824852,-0.027935158,-0.060253125,0.04687547
9,-0.026782386,0.04165834,-0.0042139734,0.0206506,0.020176142,0.063204534,-0.036176525,0.088676855,0.05271319,-0.16685039,0.04570257,-0.12655824,-0.045238715,-0.063998684,-0.042888254,0.11028215
10,-0.10667155,0.056466416,-0.19429652,-0.02678039,0.04195606,-0.02136399,0.0018805244,0.036490876,-0.042494636,0.070526026,-0.013740211,0.051258497,-0.0046215914,-0.027428841,0.015782105,-0.058958165
11,-0.0077029997,0.007961097,0.18675512,-0.024495395,-0.035311326,-0.0073079583,0.006036048,0.06534823,0.09027853,-0.017773367,-0.004045775,-0.10077036,0.013762635,0.0076174447,0.014840415,-0.0638307
12,-0.07466453,0.0020880688,-0.19719425,-0.11854032,-0.054782763,-0.0075177792,0.07811555,0.045005824,-0.0066113765,0.0604676,-0.06695778,0.021723324,-0.06516136,0.014158899,0.08134551,-0.1508929
13,0.0014233781,-0.1066992,-0.009014104,-0.052514233,0.033383604,-0.013932604,0.0098225195,-0.14009434,0.08350725,-0.13575704,0.041159198,-0.07627207,0.0026812404,-0.015314103,0.023783404,0.041859068
14,-0.08473958,-0.0010387398,-0.09993969,-0.002943809,-0.010802269,0.010232274,-0.01385442,-0.012792556,-0.012405694,0.02739898,0.011160002,0.010488506,0.0010727982,-0.108077936,0.0015081865,-0.03461726
15,-0.060357697,-0.030040989,0.051262867,0.008308728,0.04607256,0.0072801732,-0.006830957,-0.02001024,-0.11695929,0.0012749984,-0.017275112,-0.054481536,0.008935403,0.07075434,-0.010934572,-0.020903511
