row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,0.038618747,0.047239963,-0.0065065743,-0.01760598,-0.055727053,-0.05460134,0.049494628,-0.06200431,0.03236323,-0.02521673,0.04755437,0.03910221,-0.04105178,0.0024135462,0.013798944,-0.06591769
1,0.0009855216,0.0041573904,0.024294134,-0.03195566,0.07355791,-0.00077336334,0.026298454,0.015186959,0.0009373118,0.013959237,0.0007367804,-0.008992936,-0.0017583243,-0.0015615362,0.017184064,0.024289316
2,0.0036540148,-0.00013398805,-0.0002973068,-0.0076327007,0.00015254575,-7.7185007e-07,-0.0007082506,-0.0005281863,-2.762931e-07,-0.010633798,1.5477239e-06,-1.397983e-09,-1.5653609e-06,1.4742619e-11,0.0014365586,-0.0021935382
3,0.08631113,-0.019058134,0.104956366,0.0842518,0.1165751,-0.1253187,-0.09621409,-0.1394622,-0.013706024,-0.048755538,0.030080343,0.021185355,0.049766246,-0.055822596,-0.06378674,0.116858624
4,-0.015836213,0.021006579,-0.028639589,0.02972356,-0.054380536,-0.03240997,0.029011127,0.0942047,0.022194145,-0.028708862,0.012481916,0.011054679,-0.069086574,-0.006838303,-0.20234686,-0.038416352
5,-0.03567022,-0.002376911,0.001750647,0.03460608,0.029329814,-0.025693119,-0.029454723,-0.016468246,0.041414317,-0.04673294,-0.057368353,-0.050030973,-0.020226281,-0.038509283,-0.003745177,-0.01269104
6,-2.4651418e-12,-6.743602e-11,-2.362574e-06,-0.0028516096,0.00016925318,-2.8155775e-09,-8.5572044e-13,-6.6926705e-06,1.327142e-15,-0.000246877,8.88331e-05,1.7085316e-13,8.897176e-16,-2.545806e-14,0.00073782017,-0.00034161916
7,0.005084961,-0.033938613,-0.07772475,-0.086363256,-0.100682735,0.037603255,-0.0518073,-0.05563246,-0.0153949335,-0.0757808,-0.031161837,-0.0014315266,0.0523797,0.001170529,-0.06126885,0.051420853
8,0.032558165,-0.07668414,-0.07864855,0.047969554,0.05691596,0.02104015,-0.07493555,0.096086964,-0.0152236875,-0.18642895,-0.008173661,-0.029904753,-0.043116458,-0.016489701,-0.16751903,0.20142014
9,-0.0005620439,-0.0016027098,-0.031248892,-0.0681318,0.049992565,-0.0005018357,-0.0015545505,-0.06491541,-0.0006045779,-0.04100603,0.001056992,-0.0005204444,0.0016832065,0.00046554336,0.065554306,-0.062676005
10,0.04409523,-0.017477619,0.023135105,0.010611944,-0.008315993,0.03274636,0.026337758,0.025394231,-0.03920223,0.025877263,-0.06391485,0.038720716,-0.004058496,0.031463604,-0.008770565,0.034259718
11,-0.1103709,0.079380825,0.05301604,-0.15366915,0.11112721,-0.009815438,-0.09616957,0.15678675,0.07584186,0.06578297,-0.049350467,-0.023360781,-0.08722113,0.045793347,0.091696106,-0.11152826
12,0.08781101,0.03508055,-0.07310674,0.0810952,-0.07326836,0.026629353,0.1082699,-0.13955978,-0.02409909,-0.022850882,0.04684704,-0.021359893,-0.084065735,-0.003081001,-0.020842211,0.01837469
13,-0.00022060568,0.00012657985,-0.001058776,-0.007188284,0.00039432908,-3.3066566e-08,0.002225013,-0.004852892,-1.1751808e-11,-0.00022328923,-0.0035462007,-1.8552196e-15,-1.4139061e-14,-4.1593387e-12,2.5256978e-07,-0.0032911303
14,-0.11307476,-0.14574696,0.12155408,-0.18513511,-0.1344655,-0.0259259,0.029171413,0.024997162,-0.08773169,-0.038717877,-0.025737064,0.041140664,0.14333792,0.022918625,-0.026995456,0.12035983
15,-0.1148315,0.067612596,-0.12445548,0.14139716,-0.14487386,0.032896094,-0.15239418,0.10663927,0.042998347,0.15104148,-0.12573586,0.08458049,-0.11834521,-0.046697713,0.10803073,-0.043240055
