user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
37,-0.995739,-0.995739,-0.995739,-0.995739,-0.995739,-0.995739,-0.9941519,-0.9941519,-0.9941519,-0.99902654,-0.99902654,-0.99902654,-0.99902654,0.6304175,0.6304175
38,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209,-0.988209
39,0.8111332,0.8111332,0.8111332,-0.99213517,-0.99213517,-0.99213517,-0.99213517,-0.9996933,-0.9996933,0.997086,0.997086,0.997086,0.997086,0.997086,0.997086
40,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9992318,-0.9503157,-0.9503157,-0.9503157,-0.9503157,-0.9503157,-0.9503157
41,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.9978759,-0.997575,-0.997575,-0.997575,-0.997575,-0.997575
42,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.9997806,0.6288847,0.6288847,0.6288847
43,0.9846666,0.9846666,0.9846666,-0.99869365,-0.99869365,-0.99869365,-0.99869365,-0.99869365,-0.99869365,-0.99869365,-0.9359221,0.8564939,0.8564939,0.8564939,0.8564939
44,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.99967086,-0.9978618,-0.9978618,-0.9978618,0.582674,0.582674,0.582674
45,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125,-0.98503125
46,0.9996685,0.9996685,0.9996685,0.9996685,0.9996685,0.9996685,-0.9956086,-0.9956086,-0.9956086,0.96624994,0.96624994,0.96624994,0.96624994,0.96624994,0.96624994
47,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284,-0.99959284
48,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.98770344,-0.93868226,-0.93868226,-0.93868226,-0.93868226,-0.93868226,-0.93868226
49,0.9817696,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.85612404,-0.9986066,0.99941945,-0.96445996,-0.96445996,-0.96445996
