user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
13,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,-0.9070171,0.99699247,0.99699247,0.99699247,0.99699247,0.99699247
14,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.9993818,-0.95099854
15,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.9934584,-0.99900234,-0.99900234
16,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,-0.9934797,0.9656113,0.9656113,-0.9967018,-0.9967018,-0.9967018
17,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9769329,-0.9988938,-0.9988938,-0.9988938,-0.99246866,-0.99246866
18,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101,-0.990101
19,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.97845674,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501,-0.9877501
20,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.96504676,-0.86462134,-0.86462134,-0.86462134,-0.9996106,-0.9996106,-0.9971424,-0.9971424,-0.9988222,-0.98403454,-0.99916637,-0.99916637,-0.99916637,-0.99916637
21,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.99825126,-0.9992865,-0.98346764,-0.98346764,-0.98346764,-0.98346764
22,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.96836513,-0.99543506,-0.99543506,0.95714986,0.6559549,0.6559549,0.6559549,0.6559549,0.6559549,0.6559549,0.6559549,0.6559549,0.6559549
23,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,-0.9920169,0.9322161,0.9322161,0.9322161,0.9322161,-0.9982097,-0.9982097,-0.9982097,-0.9982097,-0.9982097,-0.9982097,-0.9982097,-0.9845954,-0.9845954
