row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.02401991,0.21473393,0.019111967,0.08730156,0.013250429,-0.013462693,-0.0708097,-0.097903356,-0.14237836,-0.05015461,-0.05598109,-0.18462539,-0.0687166,-0.10941308,0.018407583,-0.00087170524,0.10218612,0.04850493,0.102119215,-0.19554353,-0.086116664,0.14795722,0.06821775,0.11716227,0.082642004,-0.123607345,-0.1802181,0.054488156,-0.12319098,-0.12742835,0.17480418,-0.11355609
1,-0.054134067,0.026732007,-0.18934168,0.12661855,-0.14973201,0.14330114,0.047418747,-0.051627923,-0.0965189,0.07444488,-0.034102067,-0.1527126,-0.080069505,0.14413622,0.10276897,0.029433277,0.20577131,0.0717587,0.11149456,0.15537386,-0.018709872,-0.12210276,0.0371503,0.07086233,-0.11791573,0.15730156,-0.010071769,-0.07195732,0.113329634,0.03303978,0.15753083,-0.14733602
2,0.14763474,-0.10581282,-0.1041452,-0.13735455,-0.08666575,0.09616336,-0.037289884,-0.08268129,0.003292777,0.047077414,0.20164925,-0.079986736,-0.07312226,0.09678463,0.0558994,0.13544227,-0.151514,0.0041849664,0.09620527,-0.003557481,-0.0030662257,0.17526029,-0.16541673,-0.0155450795,-0.08717095,0.008976855,0.048980407,0.08360324,-0.11130384,-0.040947355,-0.0006467593,0.12213408
3,-0.08008208,0.08195072,-0.23291437,0.0831343,-0.1097034,-0.08660268,0.02905917,-0.06673378,-0.14780009,-0.026390882,-0.03577123,0.048637666,-0.12833945,0.08238422,0.027959365,0.17478298,0.06856311,0.11065066,0.10894312,0.071552284,0.13428174,0.14075156,-0.16770548,-0.07753002,-0.18258588,-0.16137761,-0.13012701,-0.051971145,-0.11077889,-0.035406824,-0.06983576,0.09223902
4,0.18642601,0.12793243,0.12431662,-0.11813005,0.16120924,0.10007211,-0.11045878,-0.05010371,0.14736092,0.05672219,-0.16906077,-0.09819071,0.09724926,0.052016586,-0.10208276,-0.09679698,0.12517615,-0.03696902,-0.058818176,0.036969777,0.15228102,-0.02922632,0.14439172,0.034934226,-0.14132722,-0.108532414,0.028195761,-0.1358031,-0.11435216,0.10430971,0.07861639,-0.032134265
5,-0.099495314,-0.034770142,0.16461392,-0.17567644,0.10637994,-0.037565317,0.15109606,-0.13138534,-0.16051382,0.030752743,0.18728758,0.113732934,-0.04591712,-0.017158844,0.28298923,-0.25523233,0.1765307,-0.02874468,-0.13558775,0.08862952,0.14053725,-0.062455393,0.1447806,-0.12603709,-0.1199458,0.14527105,0.089279816,-0.0195705,-0.12994117,-0.05089747,-0.091780886,0.024403347
6,-0.13788508,0.058260374,0.13041286,0.015890533,-0.02751778,0.03228183,-0.13870925,0.10549113,0.12671243,-0.06818076,0.16009922,-0.02538324,0.011134601,-0.042528253,0.14958137,0.09135542,-0.10771879,-0.01623844,0.16575184,-0.103766404,0.058999315,0.11939381,-0.03476375,-0.11188769,0.10824398,0.18791646,0.1473075,0.13724841,0.19583988,0.10730655,-0.19564326,0.1640881
7,0.09528045,0.07948938,-0.11308571,0.07112782,0.14089362,-0.10876883,-0.08638635,0.023993177,0.012746839,-0.037073888,-0.10370163,-0.12099001,0.13074236,0.16499713,-0.030252524,0.17522556,-0.053879723,0.05885769,0.010542143,-0.05787781,-0.06761961,-0.037694007,-0.1146778,0.009503474,-0.07116133,-0.06794752,-0.030567484,0.13391943,-0.12842952,-0.07336117,0.120987654,0.14714684
8,0.11896184,0.1869173,0.09509374,-0.021242598,0.03261581,0.17304595,-0.009341253,0.041134484,0.16869232,0.04891698,0.1275529,0.1511356,-0.021538174,-0.0459254,0.1255192,-0.21900368,-0.16021284,-0.1410262,0.055356637,0.12599841,0.19087975,0.039898116,0.218992,-0.02913034,0.11721741,-0.12184453,0.115193866,-0.15051286,-0.1602135,0.12335347,-0.046655364,-0.15706956
9,0.050204493,-0.09518498,0.11802064,-0.15461153,0.0051107174,0.119278446,-0.040174976,-0.16817854,0.07333593,-0.12941349,-0.04677144,0.06459556,-0.14206508,0.085862264,-0.12612304,0.23819584,-0.06807941,0.098592095,0.14355172,0.10197737,0.056696095,-0.021844337,-0.2547652,-0.12291738,0.09158333,-0.0515819,0.06794895,0.17705512,0.15811811,0.16731131,0.03795954,0.14662595
10,0.104557484,-0.019988323,-0.01911284,-0.14370294,0.08471557,0.13313705,-0.10082366,0.16202025,0.12534958,-0.07248207,0.018462352,0.005069452,-0.08993571,-0.1372583,0.059463374,-0.029511781,0.011970811,-0.110792376,0.08038842,0.08786251,0.123165876,-0.02316325,-0.0719676,0.026273994,0.08100475,-0.12064885,0.05927107,0.04715964,-0.10845936,0.15338735,0.058314994,0.08466975
11,-0.16021782,-0.005876596,0.036213864,-0.061984826,-0.14008145,0.07586631,0.04995257,-0.02198638,0.02240924,-0.039422087,0.164369,-0.007739282,0.008072561,0.09008308,-0.03255477,0.23134649,-0.15751152,-0.06422107,0.21578084,0.010106932,0.010256208,-0.09635739,-0.12006725,0.0012928452,0.041319564,0.13765219,-0.113304555,-0.09009744,-0.085653685,0.07879278,0.019588182,-0.117499225
12,0.0055548456,0.12722437,0.037902452,-0.050848942,0.13760988,-0.021018887,-0.022235235,-0.078914575,0.032552373,0.07319326,-0.14383411,-0.010416293,-0.012206791,0.08738395,-0.19167621,0.07278455,0.12324598,0.08863582,-0.06397301,-0.14077905,0.047894377,0.20088933,-0.13498463,-0.10053837,-0.03616552,-0.15769973,0.05245567,-0.14883532,-0.06604661,0.12046464,-0.12494413,0.05967914
