user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
26,-0.9952099,-0.9952099,-0.9952099,-0.9952099,-0.9952099,-0.9997023,-0.9997023,-0.9997023,0.9897423,0.9897423,-0.9684002,-0.99340266,-0.99340266,-0.99340266,-0.99340266
27,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583,-0.98823583
28,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573,-0.99654573
29,0.996271,-0.9915793,-0.9915793,0.99822754,-0.8199746,-0.8199746,-0.8199746,-0.8199746,-0.8199746,-0.8199746,0.64085025,0.64085025,0.023956567,-0.9791301,-0.9791301
30,-0.989783,-0.989783,-0.989783,-0.989783,-0.989783,-0.9978142,-0.9978142,-0.9978142,-0.9978142,-0.9978142,-0.9978142,-0.9978142,-0.9978142,-0.9801722,-0.9801722
31,-0.9825299,-0.9825299,-0.9825299,-0.9825299,-0.9990721,-0.98268145,-0.98268145,-0.98268145,-0.98268145,-0.98268145,-0.98268145,-0.98268145,-0.98268145,-0.99691135,-0.99691135
32,-0.9970005,-0.99845576,-0.99845576,-0.99845576,-0.99845576,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685,-0.99811685
33,-0.9947614,-0.9947614,-0.9994735,-0.9342583,-0.9342583,-0.9342583,-0.9342583,0.9995522,0.9995522,0.9995522,0.9995522,0.9995522,0.9995522,0.9995522,0.9995522
34,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.9966275,-0.99911815,-0.91458577,-0.91458577,-0.91458577
35,-0.99975044,-0.99975044,-0.99746275,-0.99746275,-0.99746275,-0.99746275,-0.99746275,0.88031584,0.88031584,0.88031584,0.88031584,0.88031584,0.88031584,0.88031584,-0.997566
36,-0.9943528,-0.9943528,-0.9943528,-0.9943528,-0.9943528,-0.9943528,-0.9943528,-0.9943528,-0.9956546,-0.9956546,-0.9956546,-0.9956546,-0.99931514,-0.99931514,-0.99931514
